AP1;AP2;AP3;AP4;AP5;AP6;AP7;AP8;AP9;AP10;AP11;Beacon 1;Beacon 2;Beacon 3;Beacon 4;Beacon 5;Beacon 6;Beacon 7;Beacon 8;Beacon 9;Beacon 10;Beacon 11;Beacon 12;Beacon 13;Beacon 14;Beacon 15;Beacon 16;Beacon 17;Beacon 18;Beacon 19;Beacon 20;Beacon 21;Beacon 22;Beacon 23;Beacon 24;Beacon 25;Beacon 26;Beacon 27;Beacon 28;Beacon 29;Beacon 30;Beacon 31;Beacon 32;Beacon 33;Beacon 34;Beacon 35;Beacon 36;Beacon 37;Beacon 38;Beacon 39;Beacon 40;Beacon 41;Beacon 42;Beacon 43;Beacon 44;Beacon 45;Beacon 46;X Pos;Y Pos
-77;-73;-80;-110;-110;-110;-110;-110;-110;-110;-67;-110;-110;-110;-110;-110;-75;-110;-110;-110;-110;-110;-110;-73;-110;-95;-110;-110;-110;-110;-90;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-91;-82;-110;-110;-110;-82;-110;-110;-110;-110;-98;-84;-110;-110;6.5;18.9
-77;-69;-71;-110;-110;-110;-110;-110;-110;-110;-61;-90;-83;-110;-82;-92;-110;-92;-110;-110;-110;-82;-92;-77;-77;-89;-98;-110;-110;-110;-110;-110;-110;-110;-110;-82;-110;-110;-110;-90;-110;-110;-83;-110;-110;-95;-110;-110;-110;-110;-110;-110;-110;-84;-73;-110;-110;9.6;18.9
-110;-73;-110;-110;-86;-86;-110;-110;-110;-110;-59;-110;-83;-110;-70;-110;-110;-110;-91;-96;-110;-83;-93;-110;-83;-110;-110;-110;-110;-93;-110;-110;-82;-110;-91;-110;-110;-110;-86;-110;-110;-84;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;12.7;18.9
-110;-72;-110;-110;-110;-110;-110;-110;-110;-69;-67;-110;-110;-83;-71;-110;-72;-90;-110;-110;-110;-110;-110;-110;-81;-110;-97;-110;-110;-110;-83;-110;-86;-110;-110;-110;-83;-110;-92;-110;-110;-84;-110;-81;-77;-110;-110;-110;-110;-110;-110;-92;-110;-110;-110;-95;-110;15.8;18.9
-81;-72;-73;-110;-87;-110;-110;-77;-110;-76;-73;-110;-81;-86;-110;-110;-110;-110;-110;-89;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-84;-110;-110;-110;-87;-76;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;18.9;18.9
-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-82;-110;-110;-110;-110;-110;-110;-110;-110;-72;-82;-110;-110;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-110;-79;-89;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;5;22.5
-72;-110;-110;-110;-110;-110;-110;-110;-73;-72;-65;-101;-86;-110;-79;-110;-75;-110;-110;-100;-110;-96;-110;-81;-76;-110;-110;-110;-110;-86;-110;-110;-110;-105;-90;-88;-96;-110;-110;-110;-110;-110;-110;-110;-90;-110;-110;-100;-110;-110;-110;-110;-110;-110;-110;-110;-110;5;15
-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-82;-91;-78;-90;-84;-100;-95;-94;-110;-88;-110;-87;-81;-96;-90;-110;-110;-102;-110;-110;-81;-110;-110;-99;-110;-110;-86;-84;-96;-110;-76;-91;-83;-110;-110;-110;-67;-95;-110;-110;-110;-110;-80;-110;-110;20.5;22.5
-78;-110;-70;-110;-88;-110;-110;-82;-64;-67;-60;-110;-110;-110;-82;-110;-110;-110;-110;-110;-110;-86;-110;-110;-110;-110;-110;-97;-110;-110;-110;-110;-110;-110;-110;-110;-110;-96;-82;-110;-110;-110;-91;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;20.5;15
-83;-110;-110;-110;-110;-110;-110;-78;-63;-64;-60;-110;-102;-82;-110;-97;-77;-110;-110;-110;-110;-110;-110;-110;-86;-110;-110;-110;-110;-110;-110;-110;-110;-110;-79;-81;-110;-98;-92;-110;-110;-110;-110;-110;-110;-110;-110;-98;-110;-110;-110;-110;-110;-110;-82;-110;-110;3.4;9.6
-110;-110;-77;-110;-110;-110;-110;-110;-67;-67;-62;-110;-110;-110;-110;-94;-77;-110;-94;-110;-110;-110;-110;-110;-83;-110;-110;-87;-110;-73;-101;-92;-110;-110;-110;-82;-110;-110;-101;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;3.4;6.5
-81;-110;-110;-110;-110;-110;-110;-110;-64;-66;-63;-110;-110;-83;-77;-110;-82;-84;-110;-110;-110;-110;-110;-87;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-110;-110;-110;-110;-110;-110;-110;-110;3.4;3.4
-110;-110;-110;-110;-110;-86;-81;-78;-70;-74;-61;-110;-110;-81;-110;-110;-80;-91;-91;-110;-110;-110;-110;-110;-91;-110;-110;-110;-110;-110;-110;-110;-89;-110;-110;-73;-110;-110;-95;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-83;-110;-110;6.5;3.4
-110;-110;-87;-110;-110;-82;-110;-73;-66;-61;-59;-110;-110;-71;-75;-110;-81;-110;-110;-110;-110;-91;-94;-85;-83;-110;-110;-110;-110;-82;-110;-94;-110;-110;-82;-72;-110;-110;-110;-110;-110;-110;-91;-110;-94;-110;-110;-110;-90;-110;-110;-110;-110;-82;-110;-110;-110;6.5;6.5
-110;-78;-110;-110;-110;-79;-76;-75;-71;-61;-60;-110;-92;-81;-71;-110;-82;-110;-110;-110;-110;-90;-110;-84;-83;-110;-110;-91;-110;-110;-110;-110;-110;-110;-110;-86;-110;-110;-89;-110;-110;-110;-110;-110;-86;-110;-110;-110;-110;-110;-110;-110;-90;-87;-110;-110;-110;6.5;9.6
-110;-110;-110;-110;-110;-110;-77;-73;-69;-63;-59;-110;-90;-103;-110;-95;-84;-110;-94;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-93;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-96;-110;-110;-110;-84;-79;-110;-110;9.6;9.6
-110;-110;-82;-110;-110;-110;-110;-75;-64;-57;-60;-110;-110;-77;-110;-110;-81;-110;-95;-110;-110;-110;-110;-110;-110;-110;-110;-91;-110;-110;-98;-110;-95;-110;-110;-74;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-95;-110;-110;-110;9.6;6.5
-110;-110;-85;-110;-110;-110;-78;-110;-64;-58;-60;-110;-100;-110;-110;-110;-83;-80;-110;-110;-110;-110;-110;-110;-97;-110;-110;-89;-110;-110;-100;-110;-96;-110;-110;-78;-110;-110;-110;-110;-110;-110;-110;-110;-86;-110;-91;-110;-89;-95;-110;-110;-110;-90;-84;-110;-110;9.6;3.4
-110;-110;-110;-110;-110;-79;-83;-69;-59;-65;-60;-110;-110;-71;-79;-96;-110;-77;-110;-110;-110;-92;-110;-110;-110;-110;-110;-84;-110;-110;-110;-110;-110;-110;-77;-79;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-91;-110;-110;-92;-110;-110;-110;-110;-90;-110;-110;12.7;3.4
-110;-110;-80;-110;-110;-82;-110;-77;-59;-60;-66;-110;-110;-72;-81;-110;-110;-110;-110;-96;-110;-110;-110;-110;-110;-110;-110;-88;-110;-90;-110;-110;-110;-110;-71;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-103;-110;-110;-110;-91;-110;-110;-93;-82;-84;-110;-110;12.7;6.5
-110;-110;-110;-110;-110;-110;-77;-110;-65;-65;-56;-110;-95;-80;-110;-95;-75;-81;-110;-110;-110;-110;-110;-110;-82;-110;-110;-110;-110;-110;-110;-110;-110;-110;-73;-110;-110;-110;-110;-110;-110;-110;-110;-110;-74;-110;-110;-94;-110;-110;-110;-110;-110;-85;-85;-110;-110;12.7;9.6
-110;-110;-75;-110;-90;-80;-73;-75;-62;-110;-63;-110;-92;-110;-83;-92;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-110;-110;-76;-100;-110;-110;-86;-110;-110;-110;-110;-110;-83;-110;-110;15.8;9.6
-110;-110;-110;-110;-110;-96;-110;-110;-60;-72;-60;-110;-110;-68;-74;-110;-110;-110;-110;-110;-110;-98;-102;-110;-110;-110;-110;-91;-110;-110;-110;-110;-110;-110;-71;-73;-110;-91;-110;-110;-110;-110;-110;-110;-90;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-110;-110;15.7;6.5
-110;-110;-110;-110;-110;-79;-78;-67;-61;-64;-66;-110;-110;-73;-110;-91;-110;-77;-83;-110;-110;-110;-110;-110;-85;-110;-110;-89;-110;-110;-110;-110;-110;-110;-110;-84;-110;-110;-110;-110;-110;-110;-110;-99;-92;-110;-110;-87;-90;-110;-110;-110;-110;-110;-110;-110;-110;15.7;3.4
-110;-110;-110;-110;-110;-79;-77;-68;-64;-66;-70;-110;-110;-77;-75;-91;-110;-81;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-96;-110;-110;-89;-110;-93;-97;-110;-110;-110;-110;-110;-87;-110;-110;-110;-89;-110;-110;-110;-110;-110;-110;-110;-110;18.9;3.4
-110;-110;-110;-90;-110;-110;-110;-76;-55;-62;-61;-110;-110;-74;-110;-86;-110;-76;-110;-110;-110;-110;-101;-93;-96;-110;-110;-90;-110;-87;-92;-110;-110;-100;-82;-89;-110;-91;-110;-110;-110;-110;-110;-110;-88;-110;-101;-110;-77;-110;-92;-110;-110;-110;-88;-110;-110;18.9;6.5
-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;18.9;9.6
-110;-110;-110;-110;-110;-84;-110;-74;-64;-55;-54;-110;-110;-110;-77;-96;-83;-77;-110;-110;-110;-110;-110;-87;-89;-110;-110;-84;-110;-91;-110;-110;-110;-110;-79;-88;-110;-110;-110;-110;-110;-110;-110;-110;-82;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;22;9.6
-110;-110;-110;-110;-86;-70;-69;-76;-61;-56;-69;-110;-110;-110;-80;-75;-88;-110;-90;-110;-110;-110;-110;-110;-88;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-110;-100;-110;-110;-86;-91;-110;-110;-110;-110;-88;-87;-110;-110;-84;-86;-110;-110;22;6.5
-110;-110;-110;-110;-110;-74;-71;-76;-66;-56;-71;-110;-99;-78;-110;-91;-92;-76;-110;-110;-110;-86;-110;-91;-90;-110;-110;-88;-110;-110;-98;-110;-110;-110;-81;-110;-110;-91;-110;-110;-102;-110;-110;-91;-110;-110;-110;-90;-110;-110;-110;-110;-110;-110;-86;-110;-92;22;3.4
-110;-110;-110;-110;-110;-83;-77;-75;-66;-63;-66;-110;-97;-110;-83;-89;-85;-110;-110;-101;-110;-104;-110;-110;-110;-110;-110;-81;-110;-110;-94;-110;-110;-101;-73;-81;-110;-92;-110;-110;-110;-110;-110;-110;-110;-110;-110;-99;-110;-110;-94;-110;-102;-82;-89;-110;-110;22;18.9
-110;-76;-70;-78;-110;-82;-110;-110;-110;-77;-74;-110;-68;-91;-110;-77;-110;-90;-110;-92;-110;-85;-110;-110;-110;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;-91;-85;-110;-110;-98;-110;-74;-110;-110;-110;-89;-110;-83;-110;-95;25.1;18.9
-110;-110;-71;-80;-77;-77;-82;-110;-110;-110;-110;-110;-110;-100;-85;-81;-85;-98;-95;-110;-110;-84;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-110;-110;-110;-86;-110;-110;-75;-110;-110;-110;-110;-80;-110;-110;-110;-90;-110;-110;-110;-87;28.2;18.9
-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-91;-110;-100;-110;-84;-110;-110;-82;-90;-110;-110;-110;-90;-110;-110;-96;-86;-110;-110;-72;-110;-110;-85;-110;-110;-83;-110;-110;-110;-87;-110;-110;-69;-110;-110;-110;-86;-110;-87;-110;-110;-86;-87;-110;-80;-91;31.3;18.9
